word,language,sentiment_score
bagyo,Bikol,-1
beautiful,English,1
friend,English,0
maganda,Tagalog,1
calm,English,0
marhay,Bikol,1
about,English,0
pag-asa,Tagalog,0
about,English,0
gayon,Bikol,1
above,English,0
kapatid,Bikol,0
abusado,Bikol,-1
maganda,Tagalog,1
aaral,Tagalog,0
active,English,0
pangadyi,Bikol,1
pangarap,Tagalog,-1
tulong,Tagalog,0
aalala,Tagalog,-1
saro,Bikol,0
pag-asa,Tagalog,0
abusado,Bikol,-1
bagyo,Bikol,-1
tulong,Tagalog,0
pag-asa,Tagalog,0
enjoy,English,0
pangarap,Tagalog,-1
aalala,Tagalog,-1
friend,English,0
beautiful,English,1
saro,Bikol,0
gayon,Bikol,1
kasama,Tagalog,-1
dream,English,0
active,English,0
pag-asa,Tagalog,0
goal,English,0
friend,English,0
goal,English,0
saro,Bikol,0
liwat,Bikol,0
calm,English,0
hope,English,1
marhay,Bikol,1
tulong,Tagalog,0
aaral,Tagalog,0
sadit,Bikol,0
pangarap,Tagalog,-1
above,English,0
aalala,Tagalog,-1
pangarap,Tagalog,-1
aalala,Tagalog,-1
bagyo,Bikol,-1
bagyo,Bikol,-1
hope,English,1
adal,Bikol,0
marhay,Bikol,1
enjoy,English,0
maganda,Tagalog,1
above,English,0
kapatid,Bikol,0
kapatid,Bikol,0
abusado,Bikol,-1
calm,English,0
adal,Bikol,0
marhay,Bikol,1
pag-asa,Tagalog,0
kasama,Tagalog,-1
lakad,Tagalog,0
goal,English,0
sadit,Bikol,0
dream,English,0
enjoy,English,0
sadit,Bikol,0
gayon,Bikol,1
enjoy,English,0
calm,English,0
tulong,Tagalog,0
goal,English,0
saro,Bikol,0
abusado,Bikol,-1
friend,English,0
lakad,Tagalog,0
kasama,Tagalog,-1
gayon,Bikol,1
sadit,Bikol,0
hope,English,1
above,English,0
about,English,0
marhay,Bikol,1
bagyo,Bikol,-1
ganda,Tagalog,1
ganda,Tagalog,1
adal,Bikol,0
kasama,Tagalog,-1
tulong,Tagalog,0
kasama,Tagalog,-1
gayon,Bikol,1
dream,English,0
bagyo,Bikol,-1
goal,English,0
tulong,Tagalog,0
tulong,Tagalog,0
marhay,Bikol,1
pangarap,Tagalog,-1
kapatid,Bikol,0
saro,Bikol,0
maganda,Tagalog,1
abusado,Bikol,-1
sadit,Bikol,0
lakad,Tagalog,0
kasama,Tagalog,-1
marhay,Bikol,1
adal,Bikol,0
enjoy,English,0
enjoy,English,0
above,English,0
sadit,Bikol,0
about,English,0
pangadyi,Bikol,1
dream,English,0
dream,English,0
friend,English,0
marhay,Bikol,1
kasama,Tagalog,-1
pag-asa,Tagalog,0
pangadyi,Bikol,1
maganda,Tagalog,1
above,English,0
liwat,Bikol,0
ganda,Tagalog,1
abusado,Bikol,-1
active,English,0
hope,English,1
beautiful,English,1
liwat,Bikol,0
friend,English,0
abusado,Bikol,-1
ganda,Tagalog,1
marhay,Bikol,1
active,English,0
sadit,Bikol,0
saro,Bikol,0
maganda,Tagalog,1
hope,English,1
liwat,Bikol,0
dream,English,0
aalala,Tagalog,-1
aalala,Tagalog,-1
calm,English,0
ganda,Tagalog,1
maganda,Tagalog,1
hope,English,1
pangadyi,Bikol,1
ganda,Tagalog,1
maganda,Tagalog,1
aaral,Tagalog,0
adal,Bikol,0
gayon,Bikol,1
aaral,Tagalog,0
kasama,Tagalog,-1
enjoy,English,0
friend,English,0
bahay,Tagalog,0
pangarap,Tagalog,-1
sadit,Bikol,0
calm,English,0
kasama,Tagalog,-1
adal,Bikol,0
active,English,0
pag-asa,Tagalog,0
enjoy,English,0
aaral,Tagalog,0
tulong,Tagalog,0
active,English,0
goal,English,0
gayon,Bikol,1
lakad,Tagalog,0
calm,English,0
saro,Bikol,0
kasama,Tagalog,-1
calm,English,0
aaral,Tagalog,0
dream,English,0
kasama,Tagalog,-1
kapatid,Bikol,0
pangarap,Tagalog,-1
goal,English,0
saro,Bikol,0
about,English,0
sadit,Bikol,0
kasama,Tagalog,-1
beautiful,English,1
sadit,Bikol,0
lakad,Tagalog,0
marhay,Bikol,1
kapatid,Bikol,0
saro,Bikol,0
aalala,Tagalog,-1
maganda,Tagalog,1
pangadyi,Bikol,1
goal,English,0
saro,Bikol,0
bagyo,Bikol,-1
enjoy,English,0
about,English,0
bahay,Tagalog,0
calm,English,0
aaral,Tagalog,0
adal,Bikol,0
adal,Bikol,0
aalala,Tagalog,-1
hope,English,1
gayon,Bikol,1
above,English,0
calm,English,0
calm,English,0
kasama,Tagalog,-1
ganda,Tagalog,1
calm,English,0
kapatid,Bikol,0
adal,Bikol,0
saro,Bikol,0
friend,English,0
abusado,Bikol,-1
liwat,Bikol,0
about,English,0
calm,English,0
about,English,0
tulong,Tagalog,0
dream,English,0
active,English,0
aalala,Tagalog,-1
pangadyi,Bikol,1
goal,English,0
enjoy,English,0
sadit,Bikol,0
ganda,Tagalog,1
bagyo,Bikol,-1
active,English,0
lakad,Tagalog,0
goal,English,0
kasama,Tagalog,-1
bahay,Tagalog,0
kasama,Tagalog,-1
lakad,Tagalog,0
pangarap,Tagalog,-1
above,English,0
bagyo,Bikol,-1
adal,Bikol,0
aaral,Tagalog,0
enjoy,English,0
maganda,Tagalog,1
about,English,0
lakad,Tagalog,0
pag-asa,Tagalog,0
tulong,Tagalog,0
ganda,Tagalog,1
pangadyi,Bikol,1
hope,English,1
lakad,Tagalog,0
bagyo,Bikol,-1
bahay,Tagalog,0
pag-asa,Tagalog,0
dream,English,0
active,English,0
beautiful,English,1
goal,English,0
hope,English,1
saro,Bikol,0
above,English,0
tulong,Tagalog,0
liwat,Bikol,0
kapatid,Bikol,0
aaral,Tagalog,0
ganda,Tagalog,1
lakad,Tagalog,0
pangadyi,Bikol,1
friend,English,0
gayon,Bikol,1
gayon,Bikol,1
sadit,Bikol,0
kapatid,Bikol,0
pag-asa,Tagalog,0
pag-asa,Tagalog,0
about,English,0
ganda,Tagalog,1
bagyo,Bikol,-1
dream,English,0
aaral,Tagalog,0
pangadyi,Bikol,1
kasama,Tagalog,-1
lakad,Tagalog,0
pangadyi,Bikol,1
enjoy,English,0
adal,Bikol,0
adal,Bikol,0
calm,English,0
gayon,Bikol,1
goal,English,0
kasama,Tagalog,-1
about,English,0
maganda,Tagalog,1
aalala,Tagalog,-1
dream,English,0
friend,English,0
pangarap,Tagalog,-1
sadit,Bikol,0
aalala,Tagalog,-1
beautiful,English,1
lakad,Tagalog,0
enjoy,English,0
pangarap,Tagalog,-1
pangadyi,Bikol,1
pangadyi,Bikol,1
kapatid,Bikol,0
bagyo,Bikol,-1
kapatid,Bikol,0
dream,English,0
marhay,Bikol,1
calm,English,0
aalala,Tagalog,-1
pag-asa,Tagalog,0
sadit,Bikol,0
gayon,Bikol,1
liwat,Bikol,0
abusado,Bikol,-1
hope,English,1
liwat,Bikol,0
tulong,Tagalog,0
bagyo,Bikol,-1
tulong,Tagalog,0
active,English,0
pag-asa,Tagalog,0
friend,English,0
marhay,Bikol,1
marhay,Bikol,1
adal,Bikol,0
bahay,Tagalog,0
abusado,Bikol,-1
calm,English,0
sadit,Bikol,0
goal,English,0
ganda,Tagalog,1
maganda,Tagalog,1
pag-asa,Tagalog,0
pangadyi,Bikol,1
about,English,0
hope,English,1
goal,English,0
about,English,0
pangadyi,Bikol,1
pag-asa,Tagalog,0
saro,Bikol,0
pangadyi,Bikol,1
maganda,Tagalog,1
marhay,Bikol,1
lakad,Tagalog,0
adal,Bikol,0
bahay,Tagalog,0
bagyo,Bikol,-1
sadit,Bikol,0
tulong,Tagalog,0
aalala,Tagalog,-1
ganda,Tagalog,1
pangarap,Tagalog,-1
gayon,Bikol,1
enjoy,English,0
ganda,Tagalog,1
sadit,Bikol,0
adal,Bikol,0
aalala,Tagalog,-1
friend,English,0
adal,Bikol,0
calm,English,0
friend,English,0
friend,English,0
hope,English,1
above,English,0
friend,English,0
kasama,Tagalog,-1
maganda,Tagalog,1
marhay,Bikol,1
tulong,Tagalog,0
pangadyi,Bikol,1
liwat,Bikol,0
dream,English,0
abusado,Bikol,-1
tulong,Tagalog,0
calm,English,0
active,English,0
friend,English,0
saro,Bikol,0
friend,English,0
kapatid,Bikol,0
gayon,Bikol,1
saro,Bikol,0
active,English,0
pangadyi,Bikol,1
pangadyi,Bikol,1
marhay,Bikol,1
saro,Bikol,0
hope,English,1
marhay,Bikol,1
pag-asa,Tagalog,0
beautiful,English,1
friend,English,0
pangadyi,Bikol,1
aaral,Tagalog,0
enjoy,English,0
pag-asa,Tagalog,0
sadit,Bikol,0
lakad,Tagalog,0
liwat,Bikol,0
sadit,Bikol,0
bagyo,Bikol,-1
saro,Bikol,0
about,English,0
saro,Bikol,0
marhay,Bikol,1
adal,Bikol,0
pangarap,Tagalog,-1
active,English,0
bahay,Tagalog,0
kasama,Tagalog,-1
dream,English,0
ganda,Tagalog,1
ganda,Tagalog,1
calm,English,0
calm,English,0
pangarap,Tagalog,-1
calm,English,0
maganda,Tagalog,1
gayon,Bikol,1
friend,English,0
active,English,0
active,English,0
kapatid,Bikol,0
above,English,0
bagyo,Bikol,-1
dream,English,0
active,English,0
active,English,0
friend,English,0
liwat,Bikol,0
maganda,Tagalog,1
enjoy,English,0
goal,English,0
tulong,Tagalog,0
kasama,Tagalog,-1
kasama,Tagalog,-1
bahay,Tagalog,0
kapatid,Bikol,0
pangadyi,Bikol,1
aaral,Tagalog,0
enjoy,English,0
saro,Bikol,0
goal,English,0
lakad,Tagalog,0
abusado,Bikol,-1
kasama,Tagalog,-1
beautiful,English,1
ganda,Tagalog,1
liwat,Bikol,0
beautiful,English,1
marhay,Bikol,1
sadit,Bikol,0
marhay,Bikol,1
marhay,Bikol,1
liwat,Bikol,0
marhay,Bikol,1
tulong,Tagalog,0
lakad,Tagalog,0
bahay,Tagalog,0
pangarap,Tagalog,-1
pangadyi,Bikol,1
hope,English,1
pangarap,Tagalog,-1
dream,English,0
hope,English,1
adal,Bikol,0
marhay,Bikol,1
adal,Bikol,0
sadit,Bikol,0
enjoy,English,0
about,English,0
tulong,Tagalog,0
adal,Bikol,0
hope,English,1
hope,English,1
maganda,Tagalog,1
abusado,Bikol,-1
pangadyi,Bikol,1
maganda,Tagalog,1
enjoy,English,0
pag-asa,Tagalog,0
aaral,Tagalog,0
about,English,0
aaral,Tagalog,0
friend,English,0
about,English,0
dream,English,0
hope,English,1
maganda,Tagalog,1
kasama,Tagalog,-1
calm,English,0
maganda,Tagalog,1
saro,Bikol,0
bahay,Tagalog,0
goal,English,0
sadit,Bikol,0
friend,English,0
pag-asa,Tagalog,0
liwat,Bikol,0
kasama,Tagalog,-1
enjoy,English,0
ganda,Tagalog,1
aaral,Tagalog,0
sadit,Bikol,0
active,English,0
bagyo,Bikol,-1
active,English,0
aaral,Tagalog,0
sadit,Bikol,0
active,English,0
kapatid,Bikol,0
pangarap,Tagalog,-1
friend,English,0
friend,English,0
bahay,Tagalog,0
saro,Bikol,0
ganda,Tagalog,1
adal,Bikol,0
adal,Bikol,0
liwat,Bikol,0
goal,English,0
pag-asa,Tagalog,0
sadit,Bikol,0
aaral,Tagalog,0
pangarap,Tagalog,-1
bahay,Tagalog,0
ganda,Tagalog,1
marhay,Bikol,1
above,English,0
active,English,0
sadit,Bikol,0
bagyo,Bikol,-1
aaral,Tagalog,0
adal,Bikol,0
marhay,Bikol,1
tulong,Tagalog,0
sadit,Bikol,0
pangarap,Tagalog,-1
tulong,Tagalog,0
pag-asa,Tagalog,0
sadit,Bikol,0
lakad,Tagalog,0
abusado,Bikol,-1
aaral,Tagalog,0
enjoy,English,0
bahay,Tagalog,0
saro,Bikol,0
aaral,Tagalog,0
maganda,Tagalog,1
hope,English,1
beautiful,English,1
active,English,0
maganda,Tagalog,1
hope,English,1
liwat,Bikol,0
enjoy,English,0
friend,English,0
goal,English,0
dream,English,0
friend,English,0
above,English,0
gayon,Bikol,1
pangarap,Tagalog,-1
liwat,Bikol,0
calm,English,0
aalala,Tagalog,-1
marhay,Bikol,1
kasama,Tagalog,-1
marhay,Bikol,1
above,English,0
ganda,Tagalog,1
marhay,Bikol,1
ganda,Tagalog,1
sadit,Bikol,0
calm,English,0
marhay,Bikol,1
liwat,Bikol,0
goal,English,0
lakad,Tagalog,0
kapatid,Bikol,0
bahay,Tagalog,0
ganda,Tagalog,1
pangadyi,Bikol,1
above,English,0
lakad,Tagalog,0
hope,English,1
about,English,0
maganda,Tagalog,1
maganda,Tagalog,1
goal,English,0
goal,English,0
ganda,Tagalog,1
beautiful,English,1
liwat,Bikol,0
saro,Bikol,0
pangarap,Tagalog,-1
sadit,Bikol,0
ganda,Tagalog,1
goal,English,0
kapatid,Bikol,0
saro,Bikol,0
pag-asa,Tagalog,0
marhay,Bikol,1
about,English,0
bagyo,Bikol,-1
ganda,Tagalog,1
friend,English,0
aaral,Tagalog,0
bahay,Tagalog,0
beautiful,English,1
saro,Bikol,0
pag-asa,Tagalog,0
calm,English,0
bagyo,Bikol,-1
kasama,Tagalog,-1
hope,English,1
ganda,Tagalog,1
friend,English,0
lakad,Tagalog,0
goal,English,0
bagyo,Bikol,-1
kapatid,Bikol,0
aaral,Tagalog,0
beautiful,English,1
beautiful,English,1
lakad,Tagalog,0
bahay,Tagalog,0
bagyo,Bikol,-1
lakad,Tagalog,0
bahay,Tagalog,0
marhay,Bikol,1
ganda,Tagalog,1
adal,Bikol,0
dream,English,0
bagyo,Bikol,-1
above,English,0
bagyo,Bikol,-1
dream,English,0
active,English,0
kapatid,Bikol,0
pangadyi,Bikol,1
hope,English,1
pangadyi,Bikol,1
pag-asa,Tagalog,0
pangadyi,Bikol,1
tulong,Tagalog,0
tulong,Tagalog,0
kapatid,Bikol,0
enjoy,English,0
saro,Bikol,0
calm,English,0
saro,Bikol,0
ganda,Tagalog,1
calm,English,0
bagyo,Bikol,-1
gayon,Bikol,1
hope,English,1
marhay,Bikol,1
abusado,Bikol,-1
aaral,Tagalog,0
ganda,Tagalog,1
enjoy,English,0
active,English,0
beautiful,English,1
saro,Bikol,0
goal,English,0
dream,English,0
dream,English,0
lakad,Tagalog,0
abusado,Bikol,-1
marhay,Bikol,1
bahay,Tagalog,0
liwat,Bikol,0
liwat,Bikol,0
about,English,0
hope,English,1
active,English,0
pangarap,Tagalog,-1
maganda,Tagalog,1
pangarap,Tagalog,-1
about,English,0
calm,English,0
bagyo,Bikol,-1
ganda,Tagalog,1
gayon,Bikol,1
aaral,Tagalog,0
liwat,Bikol,0
tulong,Tagalog,0
lakad,Tagalog,0
sadit,Bikol,0
abusado,Bikol,-1
hope,English,1
saro,Bikol,0
kapatid,Bikol,0
liwat,Bikol,0
kasama,Tagalog,-1
maganda,Tagalog,1
kasama,Tagalog,-1
hope,English,1
lakad,Tagalog,0
abusado,Bikol,-1
abusado,Bikol,-1
goal,English,0
aalala,Tagalog,-1
sadit,Bikol,0
maganda,Tagalog,1
bahay,Tagalog,0
active,English,0
adal,Bikol,0
friend,English,0
active,English,0
aaral,Tagalog,0
liwat,Bikol,0
goal,English,0
pangarap,Tagalog,-1
marhay,Bikol,1
marhay,Bikol,1
pangadyi,Bikol,1
aaral,Tagalog,0
beautiful,English,1
aaral,Tagalog,0
saro,Bikol,0
adal,Bikol,0
kasama,Tagalog,-1
saro,Bikol,0
saro,Bikol,0
goal,English,0
active,English,0
beautiful,English,1
tulong,Tagalog,0
about,English,0
pag-asa,Tagalog,0
hope,English,1
enjoy,English,0
above,English,0
ganda,Tagalog,1
ganda,Tagalog,1
saro,Bikol,0
kapatid,Bikol,0
pangadyi,Bikol,1
kasama,Tagalog,-1
dream,English,0
ganda,Tagalog,1
kasama,Tagalog,-1
sadit,Bikol,0
dream,English,0
adal,Bikol,0
gayon,Bikol,1
goal,English,0
aalala,Tagalog,-1
beautiful,English,1
pag-asa,Tagalog,0
pangarap,Tagalog,-1
gayon,Bikol,1
goal,English,0
abusado,Bikol,-1
liwat,Bikol,0
tulong,Tagalog,0
ganda,Tagalog,1
pag-asa,Tagalog,0
enjoy,English,0
kapatid,Bikol,0
adal,Bikol,0
marhay,Bikol,1
liwat,Bikol,0
calm,English,0
enjoy,English,0
goal,English,0
above,English,0
saro,Bikol,0
pag-asa,Tagalog,0
kapatid,Bikol,0
kasama,Tagalog,-1
pangarap,Tagalog,-1
active,English,0
goal,English,0
liwat,Bikol,0
friend,English,0
active,English,0
liwat,Bikol,0
about,English,0
active,English,0
maganda,Tagalog,1
about,English,0
above,English,0
pangadyi,Bikol,1
sadit,Bikol,0
kasama,Tagalog,-1
pangadyi,Bikol,1
calm,English,0
above,English,0
aalala,Tagalog,-1
pag-asa,Tagalog,0
about,English,0
aalala,Tagalog,-1
pag-asa,Tagalog,0
beautiful,English,1
pangarap,Tagalog,-1
lakad,Tagalog,0
beautiful,English,1
pangadyi,Bikol,1
aaral,Tagalog,0
bahay,Tagalog,0
maganda,Tagalog,1
liwat,Bikol,0
gayon,Bikol,1
kapatid,Bikol,0
pangarap,Tagalog,-1
friend,English,0
aaral,Tagalog,0
hope,English,1
active,English,0
saro,Bikol,0
maganda,Tagalog,1
sadit,Bikol,0
hope,English,1
hope,English,1
aaral,Tagalog,0
adal,Bikol,0
aalala,Tagalog,-1
dream,English,0
pangadyi,Bikol,1
pag-asa,Tagalog,0
maganda,Tagalog,1
beautiful,English,1
maganda,Tagalog,1
kasama,Tagalog,-1
ganda,Tagalog,1
kasama,Tagalog,-1
lakad,Tagalog,0
abusado,Bikol,-1
ganda,Tagalog,1
kapatid,Bikol,0
aalala,Tagalog,-1
pangadyi,Bikol,1
aalala,Tagalog,-1
gayon,Bikol,1
aalala,Tagalog,-1
pangarap,Tagalog,-1
sadit,Bikol,0
friend,English,0
marhay,Bikol,1
aaral,Tagalog,0
liwat,Bikol,0
about,English,0
pangadyi,Bikol,1
pangadyi,Bikol,1
abusado,Bikol,-1
enjoy,English,0
aalala,Tagalog,-1
tulong,Tagalog,0
dream,English,0
abusado,Bikol,-1
goal,English,0
sadit,Bikol,0
above,English,0
friend,English,0
calm,English,0
marhay,Bikol,1
saro,Bikol,0
dream,English,0
maganda,Tagalog,1
saro,Bikol,0
ganda,Tagalog,1
above,English,0
pangarap,Tagalog,-1
bagyo,Bikol,-1
adal,Bikol,0
bagyo,Bikol,-1
about,English,0
aaral,Tagalog,0
pangarap,Tagalog,-1
pangarap,Tagalog,-1
bahay,Tagalog,0
bahay,Tagalog,0
marhay,Bikol,1
saro,Bikol,0
kasama,Tagalog,-1
lakad,Tagalog,0
about,English,0
active,English,0
calm,English,0
aaral,Tagalog,0
marhay,Bikol,1
enjoy,English,0
about,English,0
bagyo,Bikol,-1
lakad,Tagalog,0
goal,English,0
aaral,Tagalog,0
calm,English,0
kasama,Tagalog,-1
dream,English,0
liwat,Bikol,0
dream,English,0
goal,English,0
ganda,Tagalog,1
lakad,Tagalog,0
dream,English,0
saro,Bikol,0
marhay,Bikol,1
kapatid,Bikol,0
maganda,Tagalog,1
marhay,Bikol,1
pangarap,Tagalog,-1
enjoy,English,0
bagyo,Bikol,-1
tulong,Tagalog,0
gayon,Bikol,1
maganda,Tagalog,1
sadit,Bikol,0
marhay,Bikol,1
kasama,Tagalog,-1
ganda,Tagalog,1
gayon,Bikol,1
active,English,0
marhay,Bikol,1
liwat,Bikol,0
gayon,Bikol,1
aaral,Tagalog,0
gayon,Bikol,1
pangadyi,Bikol,1
kapatid,Bikol,0
kapatid,Bikol,0
kasama,Tagalog,-1
gayon,Bikol,1
lakad,Tagalog,0
lakad,Tagalog,0
active,English,0
gayon,Bikol,1
kasama,Tagalog,-1
gayon,Bikol,1
ganda,Tagalog,1
marhay,Bikol,1
ganda,Tagalog,1
dream,English,0
aalala,Tagalog,-1
gayon,Bikol,1
pag-asa,Tagalog,0
sadit,Bikol,0
dream,English,0
marhay,Bikol,1
pangadyi,Bikol,1
gayon,Bikol,1
kapatid,Bikol,0
ganda,Tagalog,1
kapatid,Bikol,0
calm,English,0
liwat,Bikol,0
saro,Bikol,0
aalala,Tagalog,-1
gayon,Bikol,1
sadit,Bikol,0
about,English,0
dream,English,0
tulong,Tagalog,0
active,English,0
bagyo,Bikol,-1
liwat,Bikol,0
active,English,0
goal,English,0
aaral,Tagalog,0
marhay,Bikol,1
above,English,0
aalala,Tagalog,-1
aaral,Tagalog,0
maganda,Tagalog,1
adal,Bikol,0
goal,English,0
sadit,Bikol,0
saro,Bikol,0
ganda,Tagalog,1
active,English,0
active,English,0
bagyo,Bikol,-1
bahay,Tagalog,0
friend,English,0
lakad,Tagalog,0
calm,English,0
maganda,Tagalog,1
aalala,Tagalog,-1
pangarap,Tagalog,-1
pag-asa,Tagalog,0
dream,English,0
liwat,Bikol,0
liwat,Bikol,0
liwat,Bikol,0
gayon,Bikol,1
marhay,Bikol,1
saro,Bikol,0
maganda,Tagalog,1
pangadyi,Bikol,1
gayon,Bikol,1
sadit,Bikol,0
dream,English,0
kapatid,Bikol,0
abusado,Bikol,-1
above,English,0
sadit,Bikol,0
above,English,0
friend,English,0
calm,English,0
lakad,Tagalog,0
active,English,0
abusado,Bikol,-1
pangadyi,Bikol,1
about,English,0
aalala,Tagalog,-1
kasama,Tagalog,-1
active,English,0
bahay,Tagalog,0
goal,English,0
bagyo,Bikol,-1
calm,English,0
active,English,0
pag-asa,Tagalog,0
tulong,Tagalog,0
kapatid,Bikol,0
kasama,Tagalog,-1
above,English,0
abusado,Bikol,-1
gayon,Bikol,1
enjoy,English,0
liwat,Bikol,0
bahay,Tagalog,0
gayon,Bikol,1
pag-asa,Tagalog,0
lakad,Tagalog,0
saro,Bikol,0
adal,Bikol,0
dream,English,0
sadit,Bikol,0
maganda,Tagalog,1
saro,Bikol,0
tulong,Tagalog,0
aalala,Tagalog,-1
marhay,Bikol,1
marhay,Bikol,1
friend,English,0
lakad,Tagalog,0
pag-asa,Tagalog,0
marhay,Bikol,1
marhay,Bikol,1
active,English,0
bahay,Tagalog,0
liwat,Bikol,0
bahay,Tagalog,0
sadit,Bikol,0
pangarap,Tagalog,-1
pag-asa,Tagalog,0
goal,English,0
kasama,Tagalog,-1
hope,English,1
marhay,Bikol,1
enjoy,English,0
calm,English,0
adal,Bikol,0
kasama,Tagalog,-1
gayon,Bikol,1
gayon,Bikol,1
gayon,Bikol,1
bahay,Tagalog,0
goal,English,0
hope,English,1
lakad,Tagalog,0
bagyo,Bikol,-1
pangadyi,Bikol,1
dream,English,0
bagyo,Bikol,-1
pag-asa,Tagalog,0
gayon,Bikol,1
kapatid,Bikol,0
adal,Bikol,0
sadit,Bikol,0
abusado,Bikol,-1
pangarap,Tagalog,-1
gayon,Bikol,1
adal,Bikol,0
liwat,Bikol,0
pag-asa,Tagalog,0
about,English,0
above,English,0
about,English,0
gayon,Bikol,1
active,English,0
about,English,0
aalala,Tagalog,-1
tulong,Tagalog,0
bahay,Tagalog,0
aalala,Tagalog,-1
beautiful,English,1
active,English,0
kasama,Tagalog,-1
calm,English,0
bahay,Tagalog,0
bahay,Tagalog,0
lakad,Tagalog,0
marhay,Bikol,1
goal,English,0
marhay,Bikol,1
aaral,Tagalog,0
kasama,Tagalog,-1
maganda,Tagalog,1
enjoy,English,0
tulong,Tagalog,0
kasama,Tagalog,-1
saro,Bikol,0
abusado,Bikol,-1
calm,English,0
friend,English,0
pangadyi,Bikol,1
beautiful,English,1
active,English,0
sadit,Bikol,0
marhay,Bikol,1
aaral,Tagalog,0
kapatid,Bikol,0
above,English,0
marhay,Bikol,1
bahay,Tagalog,0
enjoy,English,0
liwat,Bikol,0
pangadyi,Bikol,1
kapatid,Bikol,0
abusado,Bikol,-1
active,English,0
saro,Bikol,0
ganda,Tagalog,1
saro,Bikol,0
liwat,Bikol,0
liwat,Bikol,0
pag-asa,Tagalog,0
pag-asa,Tagalog,0
friend,English,0
active,English,0
goal,English,0
tulong,Tagalog,0
bagyo,Bikol,-1
pag-asa,Tagalog,0
liwat,Bikol,0
aalala,Tagalog,-1
marhay,Bikol,1
kasama,Tagalog,-1
ganda,Tagalog,1
pag-asa,Tagalog,0
abusado,Bikol,-1
pag-asa,Tagalog,0
enjoy,English,0
aaral,Tagalog,0
friend,English,0
active,English,0
goal,English,0
sadit,Bikol,0
kapatid,Bikol,0
aalala,Tagalog,-1
friend,English,0
beautiful,English,1
sadit,Bikol,0
pangadyi,Bikol,1
pangadyi,Bikol,1
tulong,Tagalog,0
about,English,0
calm,English,0
pangarap,Tagalog,-1
kapatid,Bikol,0
ganda,Tagalog,1
active,English,0
beautiful,English,1
sadit,Bikol,0
bahay,Tagalog,0
friend,English,0
hope,English,1
lakad,Tagalog,0
above,English,0
beautiful,English,1
abusado,Bikol,-1
calm,English,0
maganda,Tagalog,1
active,English,0
friend,English,0
maganda,Tagalog,1
maganda,Tagalog,1
marhay,Bikol,1
pangarap,Tagalog,-1
lakad,Tagalog,0
bagyo,Bikol,-1
aaral,Tagalog,0
bahay,Tagalog,0
maganda,Tagalog,1
lakad,Tagalog,0
bagyo,Bikol,-1
saro,Bikol,0
sadit,Bikol,0
above,English,0
adal,Bikol,0
lakad,Tagalog,0
pangadyi,Bikol,1
tulong,Tagalog,0
aalala,Tagalog,-1
dream,English,0
goal,English,0
aalala,Tagalog,-1
pangarap,Tagalog,-1
bagyo,Bikol,-1
lakad,Tagalog,0
liwat,Bikol,0
pangadyi,Bikol,1
goal,English,0
aalala,Tagalog,-1
pangarap,Tagalog,-1
bagyo,Bikol,-1
aalala,Tagalog,-1
hope,English,1
lakad,Tagalog,0
gayon,Bikol,1
kasama,Tagalog,-1
dream,English,0
aaral,Tagalog,0
enjoy,English,0
pangadyi,Bikol,1
liwat,Bikol,0
sadit,Bikol,0
ganda,Tagalog,1
active,English,0
about,English,0
gayon,Bikol,1
dream,English,0
above,English,0
gayon,Bikol,1
hope,English,1
dream,English,0
kasama,Tagalog,-1
calm,English,0
beautiful,English,1
kasama,Tagalog,-1
maganda,Tagalog,1
calm,English,0
above,English,0
sadit,Bikol,0
bagyo,Bikol,-1
above,English,0
active,English,0
kasama,Tagalog,-1
calm,English,0
pangarap,Tagalog,-1
saro,Bikol,0
above,English,0
pag-asa,Tagalog,0
abusado,Bikol,-1
above,English,0
abusado,Bikol,-1
tulong,Tagalog,0
marhay,Bikol,1
aalala,Tagalog,-1
hope,English,1
bagyo,Bikol,-1
liwat,Bikol,0
pangarap,Tagalog,-1
gayon,Bikol,1
dream,English,0
gayon,Bikol,1
ganda,Tagalog,1
aaral,Tagalog,0
kasama,Tagalog,-1
friend,English,0
about,English,0
saro,Bikol,0
enjoy,English,0
abusado,Bikol,-1
bahay,Tagalog,0
goal,English,0
maganda,Tagalog,1
liwat,Bikol,0
pag-asa,Tagalog,0
sadit,Bikol,0
liwat,Bikol,0
pangadyi,Bikol,1
liwat,Bikol,0
calm,English,0
hope,English,1
ganda,Tagalog,1
calm,English,0
bahay,Tagalog,0
above,English,0
goal,English,0
enjoy,English,0
ganda,Tagalog,1
dream,English,0
friend,English,0
hope,English,1
beautiful,English,1
abusado,Bikol,-1
active,English,0
abusado,Bikol,-1
ganda,Tagalog,1
calm,English,0
bagyo,Bikol,-1
bagyo,Bikol,-1
friend,English,0
gayon,Bikol,1
enjoy,English,0
sadit,Bikol,0
dream,English,0
gayon,Bikol,1
adal,Bikol,0
kapatid,Bikol,0
aalala,Tagalog,-1
bagyo,Bikol,-1
bagyo,Bikol,-1
enjoy,English,0
goal,English,0
abusado,Bikol,-1
tulong,Tagalog,0
aaral,Tagalog,0
hope,English,1
pag-asa,Tagalog,0
dream,English,0
ganda,Tagalog,1
about,English,0
friend,English,0
abusado,Bikol,-1
sadit,Bikol,0
pag-asa,Tagalog,0
pangarap,Tagalog,-1
aalala,Tagalog,-1
above,English,0
about,English,0
maganda,Tagalog,1
